reference_key,product_id,category_id,product_name,barcode,description,is_active,source_item_code
catalogue:144,144,4,Garlic Chives,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:144
catalogue:145,145,4,Chinese Celery,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:145
catalogue:146,146,4,Coriander,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:146
catalogue:147,147,4,Daikon Radish,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:147
catalogue:148,148,4,Carrot,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:148
catalogue:149,149,4,Jicama,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:149
catalogue:150,150,4,Lotus Root,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:150
catalogue:151,151,2,Whole Chicken,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:151
catalogue:152,152,2,Chicken Breast,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:152
catalogue:153,153,2,Chicken Thigh,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:153
catalogue:154,154,2,Chicken Drumstick,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:154
catalogue:155,155,2,Chicken Wings,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:155
catalogue:156,156,2,Chicken Feet,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:156
catalogue:157,157,2,Minced Chicken,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:157
catalogue:158,158,2,Chicken Liver,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:158
catalogue:159,159,2,Chicken Gizzard,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:159
catalogue:160,160,2,Free-Range Chicken,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:160
catalogue:161,161,2,Whole Duck,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:161
catalogue:162,162,2,Duck Breast,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:162
catalogue:163,163,2,Duck Leg,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:163
catalogue:164,164,2,Whole Quail,,Existing PantryBuddy catalogue product; unchanged identity,TRUE,catalogue:164
