label,category_id,source_locator
Beverages,7,en:beverages
Waters,7,en:waters
Dairy drinks,7,en:dairy-drinks
Mixed drinks,7,en:mixed-drinks
Coffee drinks,7,en:coffee-drinks
Energy drinks,7,en:energy-drinks
Hot beverages,7,en:hot-beverages
Milsubstitutes,7,en:milsubstitutes
Fermented drinks,7,en:fermented-drinks
Flavoured Drinks,7,en:flavoured-drinks
Carbonated drinks,7,en:carbonated-drinks
Basil seeds drinks,7,en:basil-seeds-drinks
Alcoholic beverages,7,en:alcoholic-beverages
Sweetened beverages,7,en:sweetened-beverages
Tea-based beverages,7,en:tea-based-beverages
Dehydrated beverages,7,en:dehydrated-beverages
Herbal tea beverages,7,en:herbal-tea-beverages
Plant-based beverages,7,en:plant-based-beverages
Unsweetened beverages,7,en:unsweetened-beverages
Beverage variety packs,7,en:beverage-variety-packs
Non-alcoholic beverages,7,en:non-alcoholic-beverages
Artificially sweetened beverages,7,en:artificially-sweetened-beverages
Kir,7,en:kir
Teas,7,en:teas
Beers,7,en:beers
Kvass,7,en:kvass
Latte,7,en:latte
Perry,7,en:perry
Rakia,7,en:rakia
Sodas,7,en:sodas
Wines,7,en:wines
Ciders,7,en:ciders
Pastis,7,en:pastis
Punchs,7,en:punchs
Shoshu,7,en:shoshu
Absinthe,7,en:absinthe
Cordials,7,en:cordials
Liqueurs,7,en:liqueurs
Schnapps,7,en:schnapps
Ice Cubes,7,en:ice-cubes
Iced teas,7,en:iced-teas
Kir Royal,7,en:kir-royal
Kombuchas,7,en:kombuchas
Smoothies,7,en:smoothies
Cappuccino,7,en:cappuccino
Rice wines,7,en:rice-wines
Date juices,7,en:date-juices
Soft drinks,7,en:soft-drinks
Şalgam suyu,7,en:şalgam-suyu
Apple juices,7,en:apple-juices
Frozen foods,8,en:frozen-foods
Frozen manti,8,en:frozen-manti
Frozen meats,8,en:frozen-meats
Frozen pasta,8,en:frozen-pasta
Frozen Zongzi,8,en:frozen-zongzi
Frozen breads,8,en:frozen-breads
Frozen creams,8,en:frozen-creams
Frozen fishes,8,en:frozen-fishes
Frozen knödel,8,en:frozen-knodel
Frozen langos,8,en:frozen-langos
Frozen sauces,8,en:frozen-sauces
Frozen sushis,8,en:frozen-sushis
Frozen cheeses,8,en:frozen-cheeses
Frozen lasagne,8,en:frozen-lasagne
Frozen muffins,8,en:frozen-muffins
Frozen pelmeni,8,en:frozen-pelmeni
Frozen pierogi,8,en:frozen-pierogi
Frozen poultry,8,en:frozen-poultry
Frozen quiches,8,en:frozen-quiches
Frozen sashimi,8,en:frozen-sashimi
Frozen seafood,8,en:frozen-seafood
Frozen desserts,8,en:frozen-desserts
Frozen focaccia,8,en:frozen-focaccia
Frozen stuffing,8,en:frozen-stuffing
Frozen varenyky,8,en:frozen-varenyky
Frozen doughnuts,8,en:frozen-doughnuts
Frozen dumplings,8,en:frozen-dumplings
Frozen fish eggs,8,en:frozen-fish-eggs
Frozen kroketten,8,en:frozen-kroketten
Frozen sandwiches,8,en:frozen-sandwiches
Frozen sweet pies,8,en:frozen-sweet-pies
Frozen pizza dough,8,en:frozen-pizza-dough
Frozen puff pastry,8,en:frozen-puff-pastry
Frozen baking mixes,8,en:frozen-baking-mixes
Frozen chicken eggs,8,en:frozen-chicken-eggs
Frozen flammekueche,8,en:frozen-flammekueche
Frozen phyllo dough,8,en:frozen-phyllo-dough
Frozen salty snacks,8,en:frozen-salty-snacks
Frozen Kadaif pastas,8,en:frozen-kadaif-pastas
Frozen fruits coulis,8,en:frozen-fruits-coulis
Frozen potato rostis,8,en:frozen-potato-rostis
Frozen fried potatoes,8,en:frozen-fried-potatoes
Frozen fruit tartlets,8,en:frozen-fruit-tartlets
Frozen breaded cheeses,8,en:frozen-breaded-cheeses
Frozen meals with meat,8,en:frozen-meals-with-meat
Frozen pizzas and pies,8,en:frozen-pizzas-and-pies
Frozen raw puff pastry,8,en:frozen-raw-puff-pastry
